model,test_set,regime_class,depth_level,rmse_T,rmse_S,r_T,r_S,n_profiles
oceanembed,spatial,barrier_layer_stratified,700.0,0.22818610072135925,0.041807010769844055,0.11054109474455344,0.17122025551056605,789
oceanembed,spatial,barrier_layer_stratified,1000.0,0.2091226875782013,0.03228503465652466,-0.015843938587943068,0.18302712248055336,789
oceanembed,spatial,barrier_layer_stratified,1500.0,0.17167046666145325,0.02472846582531929,-0.13150462293772786,0.13465068458254895,789
oceanembed,spatial,barrier_layer_stratified,2000.0,0.10376910120248795,0.03532303497195244,-0.3211346072098393,0.09190037295649041,789
oceanembed,spatial,barrier_layer_stratified,-1.0,0.9851377606391907,0.4502779543399811,0.9938221093199494,0.920838337581396,789
oceanembed,spatial,upwelling,0.0,0.36614352464675903,0.38622555136680603,0.4993243188592724,0.3308322706500449,35
oceanembed,spatial,upwelling,10.0,0.3488715589046478,0.37695029377937317,0.5119007229462033,0.3516304895935076,35
oceanembed,spatial,upwelling,20.0,0.341937780380249,0.3682008385658264,0.49676524015580087,0.3286111018860313,35
oceanembed,spatial,upwelling,30.0,0.452009916305542,0.36052945256233215,0.45859515295881487,0.3332237939837505,35
oceanembed,spatial,upwelling,50.0,1.0449594259262085,0.3500673770904541,0.46098899578482816,0.23623654152301535,35
oceanembed,spatial,upwelling,75.0,1.8873646259307861,0.23119013011455536,0.40863891872651,0.3031256018172411,35
oceanembed,spatial,upwelling,100.0,2.1159629821777344,0.19111277163028717,0.5076798295733511,-0.22002184804332883,35
oceanembed,spatial,upwelling,125.0,2.0534281730651855,0.1467617154121399,0.5350714214457489,-0.3666605641765858,35
oceanembed,spatial,upwelling,150.0,1.645369052886963,0.09142991155385971,0.36355700195160223,0.04677084696380224,35
oceanembed,spatial,upwelling,200.0,1.2613928318023682,0.05132433399558067,0.03849149073586758,0.23004192910680912,35
oceanembed,spatial,upwelling,250.0,0.771030068397522,0.03664589673280716,-0.02061172530486632,0.338937702530161,35
oceanembed,spatial,upwelling,300.0,0.4194166362285614,0.019847186282277107,0.07189632275122734,0.4166354251974009,35
oceanembed,spatial,upwelling,400.0,0.24336503446102142,0.025430435314774513,0.10062870584175353,0.44673748785182393,35
oceanembed,spatial,upwelling,500.0,0.18536585569381714,0.02754688262939453,0.2556953887004573,0.5522203555940501,35
oceanembed,spatial,upwelling,700.0,0.15972450375556946,0.02264314889907837,0.2254566575311293,0.365847932019446,35
oceanembed,spatial,upwelling,1000.0,0.1355358213186264,0.0182101558893919,0.41577799178642166,0.4398994291904326,35
oceanembed,spatial,upwelling,1500.0,0.15224088728427887,0.010525626130402088,0.4439987170597476,0.6234822285521319,35
oceanembed,spatial,upwelling,2000.0,0.11291602998971939,0.010702602565288544,-0.3488813176426691,-0.24955138704325258,35
oceanembed,spatial,upwelling,-1.0,1.0518977642059326,0.215757355093956,0.9931629828499196,0.8998165562885405,35
oceanembed,spatial,all,0.0,0.575548529624939,0.8647440671920776,0.8537228034116925,0.5692095018571459,1044
oceanembed,spatial,all,10.0,0.5445846915245056,0.8473657369613647,0.8558885409225689,0.5789514882807283,1044
oceanembed,spatial,all,20.0,0.5576723217964172,0.7283375859260559,0.8079003616199258,0.580241506497676,1044
oceanembed,spatial,all,30.0,0.6811699867248535,0.6655264496803284,0.6280710852546186,0.5170686524802101,1044
oceanembed,spatial,all,50.0,0.9941359758377075,0.6102727055549622,0.28705998337286665,0.44610847907220724,1044
oceanembed,spatial,all,75.0,1.5870357751846313,0.46290460228919983,0.5009454847699351,0.42311261081597273,1044
oceanembed,spatial,all,100.0,1.9878836870193481,0.25538307428359985,0.5371022990376788,0.23000293676423855,1044
oceanembed,spatial,all,125.0,1.8130111694335938,0.14822299778461456,0.4915545727248327,0.0531313717005857,1044
oceanembed,spatial,all,150.0,1.5867643356323242,0.10563202947378159,0.3944355524380917,0.09012053885696658,1044
oceanembed,spatial,all,200.0,1.0360170602798462,0.06772182136774063,0.2355908198784668,0.19262419027763386,1044
oceanembed,spatial,all,250.0,0.6266437768936157,0.049174901098012924,0.17922674815753944,0.14801614841165783,1044
oceanembed,spatial,all,300.0,0.4466446340084076,0.04190671071410179,0.1123286377318412,0.10638316501204206,1044
oceanembed,spatial,all,400.0,0.2755439877510071,0.03634117916226387,0.07536203820887574,0.0874927522441695,1044
oceanembed,spatial,all,500.0,0.24903613328933716,0.038933321833610535,0.07346250054871516,0.13916744306600815,1044
oceanembed,spatial,all,700.0,0.21989546716213226,0.03958467021584511,0.06321094822726366,0.16757290459695992,1044
oceanembed,spatial,all,1000.0,0.20274139940738678,0.030684607103466988,-0.01090441378114257,0.18801557819635534,1044
oceanembed,spatial,all,1500.0,0.172465518116951,0.022936638444662094,-0.040885304649370284,0.14708770550328662,1044
oceanembed,spatial,all,2000.0,0.0995972752571106,0.03101235255599022,-0.24483374185911388,0.09191209624216852,1044
oceanembed,spatial,all,-1.0,0.9799529314041138,0.42627379298210144,0.9939081199780514,0.9201180415090965,1044
oceanembed,temporal,well_mixed,0.0,0.7035644054412842,0.24855352938175201,0.8458613343961289,0.9630711427692471,504
oceanembed,temporal,well_mixed,10.0,0.8719984292984009,0.2695716321468353,0.7897885247561971,0.9563291984653173,504
oceanembed,temporal,well_mixed,20.0,1.4523602724075317,0.2932194173336029,0.5808458222487324,0.9440903921270284,504
oceanembed,temporal,well_mixed,30.0,1.6838412284851074,0.26927927136421204,0.699307396763836,0.9484340615921257,504
oceanembed,temporal,well_mixed,50.0,1.211424708366394,0.2730273902416229,0.8978398467548498,0.944898308363582,504
oceanembed,temporal,well_mixed,75.0,1.384753704071045,0.27976739406585693,0.8807906659490894,0.9308243922958191,504
oceanembed,temporal,well_mixed,100.0,1.9712632894515991,0.26390236616134644,0.7042228861625728,0.9195571619346196,504
oceanembed,temporal,well_mixed,125.0,1.6616100072860718,0.24889405071735382,0.6706861217560327,0.9183091694864316,504
oceanembed,temporal,well_mixed,150.0,1.3652981519699097,0.26433584094047546,0.8409785684349447,0.9073281091956348,504
oceanembed,temporal,well_mixed,200.0,1.1940422058105469,0.29139697551727295,0.9029276111758213,0.9075298567530072,504
oceanembed,temporal,well_mixed,250.0,1.1559339761734009,0.24835136532783508,0.8952614438854649,0.9245424232329368,504
oceanembed,temporal,well_mixed,300.0,1.1198821067810059,0.22952190041542053,0.8797161750477221,0.9244839223562473,504
oceanembed,temporal,well_mixed,400.0,0.7016581296920776,0.15719185769557953,0.9273600648536571,0.9494280148004348,504
oceanembed,temporal,well_mixed,500.0,0.5011395812034607,0.11230700463056564,0.9495486487242959,0.9618156382654971,504
oceanembed,temporal,well_mixed,700.0,0.40618887543678284,0.08589727431535721,0.9500469390798207,0.9598554053689167,504
oceanembed,temporal,well_mixed,1000.0,0.3274087607860565,0.07394186407327652,0.959241459908929,0.9476963297422356,504
oceanembed,temporal,well_mixed,1500.0,0.1918291598558426,0.03976409509778023,0.9477628794621524,0.9264757938330656,504
oceanembed,temporal,well_mixed,2000.0,0.10839646309614182,0.014761325903236866,0.8692707601048524,0.888856133032146,504
oceanembed,temporal,well_mixed,-1.0,1.1873100996017456,0.23371003568172455,0.9876593649253619,0.9472839198679928,504
oceanembed,temporal,barrier_layer_stratified,0.0,0.4668292999267578,0.3069911003112793,0.9068837908832893,0.9544664821449307,82
oceanembed,temporal,barrier_layer_stratified,10.0,0.4365110397338867,0.30922845005989075,0.911609678758763,0.9541910829433123,82
oceanembed,temporal,barrier_layer_stratified,20.0,0.5245451331138611,0.32044199109077454,0.8969493702409406,0.9522928140892858,82
oceanembed,temporal,barrier_layer_stratified,30.0,0.977583110332489,0.35497787594795227,0.7842016776782142,0.9455073041094366,82
oceanembed,temporal,barrier_layer_stratified,50.0,1.673019289970398,0.3266141712665558,0.6708456588100713,0.9044749850997532,82
oceanembed,temporal,barrier_layer_stratified,75.0,1.7257490158081055,0.24592894315719604,0.637251189056166,0.9229323048006643,82
oceanembed,temporal,barrier_layer_stratified,100.0,2.1746983528137207,0.2227145880460739,0.5435967825672585,0.9422615943858609,82
