model,test_set,regime_class,variable,n_points,calib_error,cover_68,width_68,cover_80,width_80,cover_90,width_90,cover_95,width_95
baseline,spatial,upwelling,S,606,0.08139033415688202,0.834983498349835,0.39186298847198486,0.9158415841584159,0.5049890875816345,0.9620462046204621,0.6481402516365051,0.9834983498349835,0.7722991704940796
baseline,spatial,all,T,18036,0.021080315532200935,0.7210024395653138,1.6209754943847656,0.8352738966511422,2.0889315605163574,0.9194388999778221,2.68108868598938,0.9566977156797516,3.1946828365325928
baseline,spatial,all,S,18036,0.03945842328741001,0.7587602572632512,0.5206405520439148,0.8552894211576846,0.6709430813789368,0.9275892659126193,0.861137866973877,0.9627411842980705,1.0260990858078003
baseline,temporal,well_mixed,T,8259,0.03436319724420579,0.6311902167332607,1.7597882747650146,0.7490010897203051,2.267817735671997,0.8532509989102797,2.910684585571289,0.9112483351495339,3.4682610034942627
baseline,temporal,well_mixed,S,8259,0.02175626117878316,0.6652137062598378,0.3499474823474884,0.7700690156193244,0.4509730637073517,0.8688703232836905,0.5788121223449707,0.9180288170480688,0.689690351486206
baseline,temporal,barrier_layer_stratified,T,1405,0.024835425298186792,0.7323843416370107,1.669722080230713,0.8277580071174377,2.1517505645751953,0.902491103202847,2.7617151737213135,0.9395017793594306,3.2907543182373047
baseline,temporal,barrier_layer_stratified,S,1405,0.005809253601739594,0.6761565836298933,0.31871920824050903,0.7822064056939502,0.4107295870780945,0.8911032028469751,0.5271605849266052,0.9516014234875445,0.6281444430351257
baseline,temporal,upwelling,T,857,0.011527898455600417,0.7082847141190198,1.9697622060775757,0.8121353558926487,2.5384085178375244,0.8938156359393232,3.2579805850982666,0.9369894982497082,3.8820855617523193
baseline,temporal,upwelling,S,857,0.03590874399086424,0.7397899649941657,0.37641867995262146,0.851808634772462,0.4850861728191376,0.926487747957993,0.6225953698158264,0.9626604434072346,0.7418608665466309
baseline,temporal,all,T,10521,0.02405139906691085,0.65098374679213,1.764864206314087,0.7646611538827107,2.2743589878082275,0.863130881094953,2.9190802574157715,0.9171181446630549,3.478264808654785
baseline,temporal,all,S,10521,0.017206155154000487,0.6727497386180021,0.34793341159820557,0.7783480657732155,0.4483775794506073,0.8765326489877389,0.5754808187484741,0.9261477045908184,0.6857209801673889
oceanembed_lp05,spatial,well_mixed,T,3808,0.014792985400441069,0.6809348739495799,1.487557053565979,0.7865021008403361,1.9169968366622925,0.8802521008403361,2.4604148864746094,0.9264705882352942,2.931736469268799
oceanembed_lp05,spatial,well_mixed,S,3808,0.038253788381087665,0.7610294117647058,0.5057064890861511,0.8560924369747899,0.6516977548599243,0.9212184873949579,0.8364370465278625,0.9582457983193278,0.9966664910316467
oceanembed_lp05,spatial,barrier_layer_stratified,T,13622,0.011383339055519298,0.7056232564968433,1.5879138708114624,0.8177213331375716,2.046325206756592,0.903832036411687,2.6264045238494873,0.9456761121714873,3.129523277282715
oceanembed_lp05,spatial,barrier_layer_stratified,S,13622,0.02736300127859414,0.7380707678754955,0.5255098938941956,0.8360739979445015,0.6772181987762451,0.9132286007928351,0.8691918253898621,0.9525033034796653,1.0356957912445068
oceanembed_lp05,spatial,upwelling,T,606,0.01971903262152577,0.6897689768976898,1.4368523359298706,0.8201320132013201,1.8516544103622437,0.8910891089108911,2.3765499591827393,0.9323432343234324,2.831805944442749
oceanembed_lp05,spatial,upwelling,S,606,0.055070202143680705,0.7871287128712872,0.3596033751964569,0.8927392739273927,0.4634164869785309,0.9455445544554455,0.5947828888893127,0.971947194719472,0.7087205648422241
oceanembed_lp05,spatial,all,T,18036,0.01088648780689189,0.6998780217343091,1.5616495609283447,0.8112109115103127,2.012479066848755,0.8984253714792637,2.582963705062866,0.941173209137281,3.077761173248291
oceanembed_lp05,spatial,all,S,18036,0.03040266128548618,0.7445664227101353,0.5157544016838074,0.8422044799290308,0.6646463871002197,0.9160013306719893,0.8530561327934265,0.954369039698381,1.0164692401885986
oceanembed_lp05,temporal,well_mixed,T,8259,0.034708275340827655,0.6230778544617992,1.7115398645401,0.7407676474149413,2.2056405544281006,0.8559147596561327,2.8308815956115723,0.9204504177261169,3.3731706142425537
oceanembed_lp05,temporal,well_mixed,S,8259,0.01872401677755266,0.66230778544618,0.33903247117996216,0.7728538563990798,0.436907023191452,0.8711708439278363,0.560758650302887,0.9220244581668483,0.6681786179542542
oceanembed_lp05,temporal,barrier_layer_stratified,T,1405,0.022062834204646005,0.7202846975088968,1.6351805925369263,0.8256227758007118,2.1072371006011963,0.894661921708185,2.7045838832855225,0.9409252669039145,3.2226788997650146
oceanembed_lp05,temporal,barrier_layer_stratified,S,1405,0.008335360720707554,0.6661921708185053,0.30704665184020996,0.7807829181494662,0.3956872820854187,0.8811387900355871,0.5078542232513428,0.9409252669039145,0.6051397323608398
oceanembed_lp05,temporal,upwelling,T,857,0.012507909553448332,0.6791131855309218,1.9136309623718262,0.7969661610268378,2.4660727977752686,0.8833138856476079,3.165139675140381,0.9253208868144691,3.7714598178863525
oceanembed_lp05,temporal,upwelling,S,857,0.03261647116028714,0.7409568261376897,0.34853774309158325,0.851808634772462,0.44915637373924255,0.9171528588098017,0.5764804482460022,0.9544924154025671,0.6869120001792908
oceanembed_lp05,temporal,all,T,10521,0.025928597051893276,0.6406235148750119,1.717804193496704,0.756677121946583,2.2137131690979004,0.8633209770934321,2.841243028640747,0.9235814086113487,3.38551664352417
oceanembed_lp05,temporal,all,S,10521,0.015342121475210701,0.6692329626461363,0.3355352580547333,0.7803440737572475,0.4324002265930176,0.8762475049900199,0.5549743175506592,0.9271932325824541,0.6612862348556519
oceanembed_lp30,spatial,well_mixed,T,3808,0.014819245904642748,0.6819852941176471,1.4876132011413574,0.7878151260504201,1.9170689582824707,0.8807773109243697,2.46050763130188,0.9272584033613446,2.931847095489502
oceanembed_lp30,spatial,well_mixed,S,3808,0.0379319468987211,0.7591911764705882,0.5061947107315063,0.8563550420168067,0.6523269414901733,0.9217436974789915,0.8372445106506348,0.9577205882352942,0.9976286292076111
